Names
Abortiporus biennis
Agaricus arvensis
Agaricus augustus
Agaricus benesii
Agaricus bernardii
Agaricus bitorquis
Agaricus californicus
Agaricus campestris
Agaricus excellens
Agaricus impudicus
Agaricus litoralis
Agaricus lutosus
Agaricus macrocarpus
Agaricus menieri
Agaricus silvicola
Agaricus urinascens
Agaricus xanthoderma
Agrocybe aegerita
Agrocybe dura
Agrocybe pediades
Agrocybe praecox
Albatrellus confluens
Albatrellus cristatus
Albatrellus ovinus
Aleuria aurantia
Amanita albocreata
Amanita aprica
Amanita badia
Amanita battarrae
Amanita caesarea
Amanita ceciliae
Amanita citrina
Amanita cothurnata
Amanita crocea
Amanita echinocephala
Amanita excelsa
Amanita farinosa
Amanita franchetii
Amanita fulva
Amanita gemmata
Amanita gioiosa
Amanita gracilior
Amanita hemibapha
Amanita hongoi
Amanita jacksonii
Amanita mairei
Amanita ovoidea
Amanita pantherina
Amanita phalloides
Amanita ponderosa
Amanita porphyria
Amanita proxima
Amanita regalis
Amanita roseotincta
Amanita rubescens
Amanita spissa
Amanita strobiliformis
Amanita submembranacea
Amanita vaginata
Amanita verna
Amanita virosa
Amanita vittadinii
Ampulloclitocybe clavipes
Arcyria cinerea
Arcyria denudata
Arcyria obvelata
Armillaria bulbosa
Armillaria mellea
Armillaria ostoyae
Armillaria tabescens
Arrhenia spathulata
Artomyces pyxidatus
Ascocoryne cylichnium
Ascocoryne sarcoides
Ascotremella faginea
Asterophora lycoperdoides
Asterophora parasitica
Astraeus hygrometricus
Auricularia auricula-judae
Auricularia mesenterica
Auricularia polytricha
Auriculariopsis ampla
Auriscalpium vulgare
Baeospora myosura
Biscogniauxia nummularia
Bisporella citrina
Bjerkandera adusta
Bjerkandera fumosa
Bolbitius titubans
Bolbitius vitellinus
Boletopsis grisea
Boletus aereus
Boletus aestivalis
Boletus albidus
Boletus appendiculatus
Boletus badius
Boletus calopus
Boletus erythropus
Boletus ferrugineus
Boletus impolitus
Boletus junquilleus
Boletus lupinus
Boletus luridus
Boletus pinicola
Boletus pinophilus
Boletus purpureus
Boletus queletii
Boletus regius
Boletus reticulatus
Boletus rhodoxanthus
Boletus satanas
Boletus speciosus
Boletus subtomentosus
Boletus torosus
Bovista nigrescens
Bovista plumbea
Bulgaria inquinans
Butyriboletus regius
Caloboletus calopus
Caloboletus radicans
Calocera cornea
Calocera furcata
Calocera viscosa
Calocybe gambosa
Caloscypha fulgens
Calvatia cyathiformis
Calvatia excipuliformis
Calvatia gigantea
Calvatia utriformis
Camarophyllus niveus
Camarophyllus pratensis
Cantharellus cibarius
Cantharellus cinereus
Cantharellus friesii
Cantharellus lutescens
Ceratiomyxa fruticulosa
Cerioporus squamosus
Cerrena unicolor
Chalciporus piperatus
Chlorociboria aeruginascens
Chlorophyllum brunneum
Chlorophyllum molybdites
Chlorophyllum olivieri
Chlorophyllum rhacodes
Choiromyces meandriformis
Choiromyces venosus
Chondrostereum purpureum
Ciboria caucus
Clathrus archeri
Clathrus ruber
Clavariaceae
Clavariadelphus ligula
Clavariadelphus pistillaris
Clavariadelphus truncatus
Clavaria acuta
Clavaria argillacea
Clavaria fragilis
Clavaria fumosa
Clavaria vermicularis
Clavaria zollingeri
Claviceps purpurea
Clavulinaceae
Clavulina amethystina
Clavulina cinerea
Clavulina cristata
Clavulina rugosa
Clavulinopsis corniculata
Clavulinopsis fusiformis
Climacocystis borealis
Clitocybe acromelalga
Clitocybe amoenolens
Clitocybe candida
Clitocybe costata
Clitocybe dealbata
Clitocybe fragans
Clitocybe fragrans
Clitocybe geotropa
Clitocybe gibba
Clitocybe maxima
Clitocybe metachroa
Clitocybe nebularis
Clitocybe odora
Clitocybe phyllophila
Clitocybe rivulosa
Clitopilus prunulus
Collybia butyracea
Collybia confluens
Collybia cookei
Collybia distorta
Collybia dryophila
Collybia erythropus
Collybia fusipes
Collybia maculata
Collybia ocior
Collybia platyphylla
Collybia tuberosa
Coltricia perennis
Colus hirudinosus
Comatricha nigra
Conocybe apala
Conocybe filaris
Conocybe tenera
Coprinellus curtus
Coprinellus micaceus
Coprinopsis atramentaria
